#{"t_start": 1622793068.5441957, "env_id": "Acrobot-v1"}
r,l,t
-83.0,84,33.516417
-88.0,89,33.569933
-72.0,73,33.613755
-70.0,71,33.65709
-74.0,75,33.703145
-86.0,87,33.761437
-74.0,75,33.806286
-90.0,91,33.861086
-74.0,75,33.905972
-73.0,74,33.950764
-85.0,86,34.002224
-74.0,75,34.047066
-76.0,77,34.093143
-74.0,75,34.137987
-73.0,74,34.182183
-84.0,85,34.233446
-90.0,91,34.287753
-78.0,79,34.335016
-79.0,80,34.382754
-77.0,78,34.429361
-71.0,72,34.472444
-90.0,91,34.527014
-73.0,74,34.571334
-74.0,75,34.616222
-90.0,91,34.670666
-72.0,73,34.714245
-73.0,74,34.758539
-77.0,78,34.805218
-71.0,72,34.848379
-78.0,79,34.895703
-113.0,114,34.963802
-73.0,74,35.008179
-80.0,81,35.05661
-72.0,73,35.100417
-78.0,79,35.147825
-99.0,100,35.207764
-73.0,74,35.252132
-65.0,66,35.29169
-78.0,79,35.339094
-80.0,81,35.387777
-72.0,73,35.431596
-66.0,67,35.471892
-89.0,90,35.526084
-210.0,211,35.652519
-99.0,100,35.712968
-78.0,79,35.76039
-89.0,90,35.814389
-85.0,86,35.865976
-73.0,74,35.910405
-79.0,80,35.959961
-78.0,79,36.009012
-65.0,66,36.048688
-74.0,75,36.093716
-66.0,67,36.133942
-74.0,75,36.179267
-79.0,80,36.227179
-79.0,80,36.275147
-167.0,168,36.375733
-78.0,79,36.423023
-81.0,82,36.472166
-91.0,92,36.527347
-76.0,77,36.573435
-73.0,74,36.617757
-72.0,73,36.661541
-77.0,78,36.708067
-78.0,79,36.755181
-78.0,79,36.802227
-66.0,67,36.842181
-64.0,65,36.880883
-74.0,75,36.925744
-90.0,91,36.980084
-84.0,85,37.031801
-93.0,94,37.088113
-64.0,65,37.127056
-88.0,89,37.180398
-77.0,78,37.22723
-72.0,73,37.270905
-93.0,94,37.326993
-80.0,81,37.375326
-76.0,77,37.421209
-78.0,79,37.468366
-73.0,74,37.512568
-78.0,79,37.559674
-75.0,76,37.605157
-78.0,79,37.652415
-79.0,80,37.700295
-63.0,64,37.738748
-96.0,97,37.796741
-73.0,74,37.841146
-92.0,93,37.897077
-91.0,92,37.952408
-87.0,88,38.005411
-99.0,100,38.065526
-84.0,85,38.116582
-64.0,65,38.155739
-85.0,86,38.20735
-75.0,76,38.253024
-186.0,187,38.36509
-90.0,91,38.419478
-72.0,73,38.463125
-500.0,500,38.761805
-85.0,86,38.813153
-78.0,79,38.86034
-73.0,74,38.904391
-74.0,75,38.94905
-118.0,119,39.020232
-78.0,79,39.067458
-71.0,72,39.110359
-73.0,74,39.154524
-74.0,75,39.199139
-85.0,86,39.250455
-89.0,90,39.304058
-78.0,79,39.351272
-76.0,77,39.397181
-64.0,65,39.435853
-65.0,66,39.475274
-72.0,73,39.518838
-77.0,78,39.56538
-83.0,84,39.615466
-78.0,79,39.66256
-87.0,88,39.71502
-85.0,86,39.766778
-78.0,79,39.8139
